valor1,valor2,operador,resultado
789,458,+,1247
343,839,+,1182
164,963,+,1127
963,774,+,1737
352,490,+,842
440,500,+,940
161,850,+,1011
406,521,+,927
718,804,+,1522
535,966,+,1501
86,607,+,693
934,360,+,1294
310,269,+,579
721,513,+,1234
819,59,+,878
704,394,+,1098
329,108,+,437
197,348,+,545
141,844,+,985
437,203,+,640
665,3,+,668
436,145,+,581
417,886,+,1303
68,856,+,924
773,568,+,1341
857,964,+,1821
16,224,+,240
294,742,+,1036
280,7,+,287
740,810,+,1550
401,521,+,922
212,73,+,285
477,586,+,1063
979,632,+,1611
344,166,+,510
423,230,+,653
262,758,+,1020
730,904,+,1634
125,651,+,776
436,626,+,1062
573,724,+,1297
508,236,+,744
130,112,+,242
719,501,+,1220
798,416,+,1214
145,997,+,1142
145,653,+,798
58,760,+,818
501,575,+,1076
369,5,+,374
783,15,+,798
415,617,+,1032
937,538,+,1475
697,855,+,1552
598,332,+,930
173,274,+,447
149,632,+,781
421,504,+,925
812,127,+,939
950,934,+,1884
736,513,+,1249
89,426,+,515
413,548,+,961
45,265,+,310
98,68,+,166
190,806,+,996
53,353,+,406
636,241,+,877
242,365,+,607
869,950,+,1819
12,913,+,925
341,229,+,570
930,114,+,1044
736,861,+,1597
434,123,+,557
870,280,+,1150
372,752,+,1124
95,483,+,578
245,106,+,351
994,583,+,1577
921,355,+,1276
401,226,+,627
647,933,+,1580
809,214,+,1023
478,319,+,797
67,915,+,982
280,813,+,1093
643,785,+,1428
426,163,+,589
335,679,+,1014
820,283,+,1103
171,263,+,434
419,324,+,743
663,568,+,1231
404,400,+,804
594,622,+,1216
202,760,+,962
571,840,+,1411
623,339,+,962
802,153,+,955
957,507,+,1464
877,891,+,1768
431,91,+,522
125,806,+,931
622,965,+,1587
998,850,+,1848
289,295,+,584
252,279,+,531
472,483,+,955
974,383,+,1357
751,263,+,1014
382,681,+,1063
61,10,+,71
667,567,+,1234
690,201,+,891
117,669,+,786
25,383,+,408
85,119,+,204
358,717,+,1075
373,844,+,1217
623,227,+,850
99,917,+,1016
780,138,+,918
920,295,+,1215
929,448,+,1377
980,738,+,1718
593,842,+,1435
194,613,+,807
248,166,+,414
427,650,+,1077
463,181,+,644
154,70,+,224
895,142,+,1037
892,1,+,893
813,571,+,1384
671,23,+,694
591,189,+,780
415,788,+,1203
574,883,+,1457
686,378,+,1064
775,15,+,790
199,664,+,863
77,882,+,959
908,756,+,1664
307,471,+,778
389,952,+,1341
10,73,+,83
67,618,+,685
227,771,+,998
328,279,+,607
197,389,+,586
604,227,+,831
120,751,+,871
112,563,+,675
227,588,+,815
368,763,+,1131
127,21,+,148
567,358,+,925
254,855,+,1109
464,814,+,1278
805,2,+,807
256,480,+,736
333,178,+,511
68,124,+,192
20,95,+,115
6,105,+,111
306,707,+,1013
729,457,+,1186
996,312,+,1308
246,658,+,904
126,974,+,1100
979,957,+,1936
435,289,+,724
448,266,+,714
992,719,+,1711
312,751,+,1063
433,66,+,499
305,236,+,541
81,345,+,426
327,427,+,754
759,974,+,1733
4,644,+,648
620,537,+,1157
454,867,+,1321
698,132,+,830
43,321,+,364
307,539,+,846
731,845,+,1576
409,113,+,522
335,305,+,640
446,197,+,643
767,383,+,1150
590,910,+,1500
434,244,+,678
168,664,+,832
345,739,+,1084
355,400,+,755
916,614,+,1530
446,96,+,542
464,763,+,1227
217,545,+,762
697,174,+,871
443,601,+,1044
93,757,+,850
667,756,+,1423
773,497,+,1270
402,23,+,425
13,812,+,825
210,39,+,249
192,401,+,593
187,191,+,378
43,560,+,603
829,591,+,1420
394,331,+,725
54,542,+,596
126,551,+,677
366,475,+,841
949,989,+,1938
121,709,+,830
996,355,+,1351
85,865,+,950
89,707,+,796
47,821,+,868
624,765,+,1389
677,990,+,1667
951,708,+,1659
862,610,+,1472
104,953,+,1057
370,910,+,1280
853,266,+,1119
917,330,+,1247
576,975,+,1551
738,184,+,922
614,253,+,867
337,605,+,942
201,610,+,811
810,511,+,1321
847,934,+,1781
262,267,+,529
11,904,+,915
107,678,+,785
318,710,+,1028
851,152,+,1003
680,909,+,1589
967,39,+,1006
373,884,+,1257
847,811,+,1658
630,416,+,1046
576,763,+,1339
547,231,+,778
973,449,+,1422
223,629,+,852
807,926,+,1733
873,977,+,1850
535,301,+,836
261,999,+,1260
728,945,+,1673
103,992,+,1095
812,366,+,1178
845,693,+,1538
155,842,+,997
903,90,+,993
19,930,+,949
147,567,+,714
383,687,+,1070
6,710,+,716
83,426,+,509
683,227,+,910
526,20,+,546
291,399,+,690
363,447,+,810
770,194,+,964
468,349,+,817
12,889,+,901
325,793,+,1118
218,387,+,605
830,866,+,1696
733,645,+,1378
575,119,+,694
301,734,+,1035
5,455,+,460
274,805,+,1079
821,202,+,1023
959,582,+,1541
914,9,+,923
266,307,+,573
103,150,+,253
40,177,+,217
698,287,+,985
833,296,+,1129
748,675,+,1423
18,174,+,192
8,85,+,93
129,220,+,349
751,536,+,1287
893,808,+,1701
913,65,+,978
778,767,+,1545
77,698,+,775
500,226,+,726
215,75,+,290
660,380,+,1040
358,451,+,809
927,836,+,1763
183,383,+,566
366,249,+,615
77,861,+,938
81,524,+,605
177,312,+,489
499,124,+,623
209,86,+,295
461,572,+,1033
636,345,+,981
534,214,+,748
382,626,+,1008
277,229,+,506
243,559,+,802
208,873,+,1081
689,867,+,1556
89,817,+,906
667,491,+,1158
716,78,+,794
734,313,+,1047
478,147,+,625
332,516,+,848
744,458,+,1202
836,988,+,1824
472,261,+,733
338,706,+,1044
50,738,+,788
191,743,+,934
549,482,+,1031
448,375,+,823
331,911,+,1242
705,295,+,1000
114,218,+,332
57,896,+,953
167,966,+,1133
646,208,+,854
323,489,+,812
48,614,+,662
187,328,+,515
890,192,+,1082
247,225,+,472
909,375,+,1284
723,798,+,1521
948,798,+,1746
266,802,+,1068
945,890,+,1835
72,831,+,903
375,105,+,480
774,939,+,1713
693,608,+,1301
679,552,+,1231
761,741,+,1502
45,899,+,944
929,534,+,1463
214,378,+,592
387,553,+,940
647,24,+,671
420,856,+,1276
986,597,+,1583
246,871,+,1117
500,581,+,1081
208,586,+,794
230,579,+,809
377,437,+,814
849,69,+,918
869,500,+,1369
522,165,+,687
971,781,+,1752
76,996,+,1072
660,948,+,1608
442,355,+,797
440,682,+,1122
187,227,+,414
420,314,+,734
11,730,+,741
819,233,+,1052
916,275,+,1191
605,947,+,1552
519,572,+,1091
622,792,+,1414
49,441,+,490
290,264,+,554
266,894,+,1160
963,882,+,1845
445,136,+,581
344,358,+,702
945,937,+,1882
551,994,+,1545
945,575,+,1520
998,575,+,1573
633,692,+,1325
140,706,+,846
424,926,+,1350
788,594,+,1382
398,471,+,869
951,735,+,1686
176,95,+,271
955,892,+,1847
363,281,+,644
312,600,+,912
302,796,+,1098
369,738,+,1107
113,905,+,1018
746,492,+,1238
191,375,+,566
679,895,+,1574
164,71,+,235
812,141,+,953
242,605,+,847
495,267,+,762
808,133,+,941
767,297,+,1064
603,150,+,753
561,374,+,935
196,176,+,372
946,942,+,1888
705,186,+,891
65,894,+,959
211,917,+,1128
838,603,+,1441
689,400,+,1089
800,86,+,886
844,427,+,1271
80,890,+,970
109,120,+,229
685,156,+,841
225,215,+,440
283,297,+,580
692,601,+,1293
880,388,+,1268
987,278,+,1265
977,25,+,1002
614,607,+,1221
427,183,+,610
893,736,+,1629
865,699,+,1564
72,537,+,609
723,237,+,960
163,254,+,417
424,301,+,725
561,549,+,1110
797,14,+,811
36,714,+,750
698,934,+,1632
139,630,+,769
422,542,+,964
97,125,+,222
252,61,+,313
830,674,+,1504
423,2,+,425
181,877,+,1058
435,149,+,584
314,803,+,1117
362,331,+,693
724,6,+,730
350,228,+,578
644,720,+,1364
4,305,+,309
705,329,+,1034
246,882,+,1128
857,950,+,1807
492,961,+,1453
313,269,+,582
974,652,+,1626
401,396,+,797
621,231,+,852
457,249,+,706
761,96,+,857
188,409,+,597
648,941,+,1589
644,578,+,1222
226,487,+,713
985,805,+,1790
507,303,+,810
488,937,+,1425
676,205,+,881
604,3,+,607
248,130,+,378
969,26,+,995
949,865,+,1814
95,346,+,441
732,895,+,1627
507,189,+,696
167,409,+,576
489,424,+,913
127,578,+,705
257,429,+,686
482,784,+,1266
852,136,+,988
908,2,+,910
