valor1,valor2,operador,resultado
722,431,/,2
79,609,/,0
723,704,/,1
510,165,/,3
473,115,/,4
754,520,/,1
388,754,/,1
844,904,/,1
423,112,/,4
416,902,/,0
269,975,/,0
286,603,/,0
411,925,/,0
862,491,/,2
855,779,/,1
312,634,/,0
247,243,/,1
354,648,/,1
253,445,/,1
967,3,/,322
726,741,/,1
534,805,/,1
64,187,/,0
243,355,/,1
174,420,/,0
875,973,/,1
984,495,/,2
760,835,/,1
581,778,/,1
168,22,/,8
263,672,/,0
689,822,/,1
844,12,/,70
433,226,/,2
685,912,/,1
496,127,/,4
216,530,/,0
415,669,/,1
301,382,/,1
834,792,/,1
514,527,/,1
520,193,/,3
315,251,/,1
437,301,/,1
205,500,/,0
54,741,/,0
50,473,/,0
736,753,/,1
950,944,/,1
677,713,/,1
806,822,/,1
607,153,/,4
606,920,/,1
935,91,/,10
97,265,/,0
11,742,/,0
426,467,/,1
807,356,/,2
480,785,/,1
302,905,/,0
892,447,/,2
249,313,/,1
823,435,/,2
703,945,/,1
544,750,/,1
507,646,/,1
874,488,/,2
956,95,/,10
797,511,/,2
282,882,/,0
709,615,/,1
676,1,/,676
639,806,/,1
293,188,/,2
634,933,/,1
375,944,/,0
565,476,/,1
514,648,/,1
629,702,/,1
1,43,/,0
269,861,/,0
295,321,/,1
448,901,/,0
854,888,/,1
535,496,/,1
551,180,/,3
929,734,/,1
432,234,/,2
734,81,/,9
229,809,/,0
415,837,/,0
80,464,/,0
121,862,/,0
40,912,/,0
516,394,/,1
82,639,/,0
771,917,/,1
28,8,/,4
823,954,/,1
463,218,/,2
