valor1,valor2,operador,resultado
788,944,*,743872
774,426,*,329724
264,312,*,82368
269,928,*,249632
620,737,*,456940
254,146,*,37084
193,906,*,174858
748,884,*,661232
990,566,*,560340
461,387,*,178407
374,232,*,86768
189,417,*,78813
426,390,*,166140
793,708,*,561444
989,640,*,632960
561,330,*,185130
977,368,*,359536
875,78,*,68250
730,910,*,664300
787,117,*,92079
226,390,*,88140
544,134,*,72896
343,847,*,290521
33,234,*,7722
569,708,*,402852
23,432,*,9936
761,104,*,79144
414,701,*,290214
149,408,*,60792
760,454,*,345040
782,220,*,172040
926,568,*,525968
30,869,*,26070
381,815,*,310515
123,726,*,89298
879,437,*,384123
279,94,*,26226
120,839,*,100680
147,399,*,58653
893,257,*,229501
796,145,*,115420
730,2,*,1460
997,91,*,90727
456,499,*,227544
98,287,*,28126
775,462,*,358050
768,687,*,527616
11,33,*,363
354,571,*,202134
971,166,*,161186
998,362,*,361276
777,198,*,153846
249,947,*,235803
765,344,*,263160
355,248,*,88040
893,243,*,216999
884,232,*,205088
32,793,*,25376
21,540,*,11340
500,252,*,126000
798,47,*,37506
959,194,*,186046
84,376,*,31584
559,822,*,459498
599,417,*,249783
777,544,*,422688
134,440,*,58960
567,27,*,15309
899,757,*,680543
501,190,*,95190
468,863,*,403884
755,324,*,244620
788,352,*,277376
913,678,*,619014
247,322,*,79534
293,248,*,72664
679,93,*,63147
163,935,*,152405
786,168,*,132048
319,118,*,37642
393,900,*,353700
183,479,*,87657
126,709,*,89334
566,100,*,56600
390,892,*,347880
83,80,*,6640
581,566,*,328846
76,960,*,72960
990,870,*,861300
537,573,*,307701
340,766,*,260440
189,160,*,30240
36,699,*,25164
380,45,*,17100
976,819,*,799344
849,579,*,491571
748,360,*,269280
798,925,*,738150
674,352,*,237248
679,646,*,438634
