valor1,valor2,operador,resultado
16,451,-,-435
761,503,-,258
716,130,-,586
462,766,-,-304
639,830,-,-191
417,92,-,325
821,921,-,-100
365,404,-,-39
531,220,-,311
491,396,-,95
459,715,-,-256
629,571,-,58
25,460,-,-435
336,336,-,0
633,166,-,467
817,488,-,329
458,900,-,-442
961,684,-,277
176,743,-,-567
819,236,-,583
849,595,-,254
238,337,-,-99
191,722,-,-531
123,877,-,-754
711,123,-,588
123,37,-,86
721,531,-,190
622,954,-,-332
28,964,-,-936
719,548,-,171
436,651,-,-215
907,568,-,339
751,144,-,607
354,76,-,278
42,116,-,-74
322,864,-,-542
944,898,-,46
914,90,-,824
284,318,-,-34
673,365,-,308
481,958,-,-477
673,43,-,630
550,191,-,359
658,116,-,542
268,566,-,-298
84,809,-,-725
406,391,-,15
714,354,-,360
522,101,-,421
396,654,-,-258
379,991,-,-612
141,783,-,-642
541,114,-,427
704,386,-,318
308,472,-,-164
719,962,-,-243
968,141,-,827
4,942,-,-938
329,110,-,219
607,603,-,4
521,601,-,-80
316,33,-,283
891,985,-,-94
411,26,-,385
325,416,-,-91
164,4,-,160
807,461,-,346
78,57,-,21
897,948,-,-51
318,182,-,136
674,720,-,-46
99,274,-,-175
958,556,-,402
289,709,-,-420
562,980,-,-418
728,413,-,315
366,304,-,62
746,665,-,81
188,423,-,-235
546,508,-,38
473,297,-,176
11,728,-,-717
716,687,-,29
234,46,-,188
610,116,-,494
488,999,-,-511
292,738,-,-446
358,906,-,-548
245,159,-,86
810,607,-,203
471,582,-,-111
684,964,-,-280
222,480,-,-258
413,904,-,-491
921,98,-,823
910,284,-,626
215,556,-,-341
953,288,-,665
85,475,-,-390
56,982,-,-926
