valor1,valor2,operador,resultado
82,208,+,290
920,324,+,1244
824,748,+,1572
96,763,+,859
336,261,+,597
956,66,+,1022
469,581,+,1050
495,38,+,533
666,758,+,1424
681,984,+,1665
715,998,+,1713
992,760,+,1752
494,267,+,761
891,568,+,1459
254,256,+,510
512,988,+,1500
912,946,+,1858
149,542,+,691
512,714,+,1226
948,232,+,1180
100,689,+,789
496,290,+,786
393,73,+,466
239,615,+,854
982,725,+,1707
688,119,+,807
444,392,+,836
746,170,+,916
531,220,+,751
823,202,+,1025
522,32,+,554
491,956,+,1447
787,62,+,849
113,539,+,652
414,190,+,604
391,40,+,431
861,269,+,1130
738,274,+,1012
404,21,+,425
244,896,+,1140
165,771,+,936
604,736,+,1340
220,372,+,592
675,240,+,915
646,901,+,1547
614,72,+,686
753,543,+,1296
376,809,+,1185
360,163,+,523
481,789,+,1270
970,890,+,1860
458,129,+,587
194,645,+,839
700,28,+,728
299,304,+,603
624,283,+,907
180,932,+,1112
360,178,+,538
249,897,+,1146
773,936,+,1709
873,35,+,908
838,949,+,1787
209,111,+,320
878,425,+,1303
577,969,+,1546
614,568,+,1182
94,500,+,594
491,300,+,791
429,337,+,766
3,684,+,687
977,530,+,1507
203,682,+,885
800,721,+,1521
5,176,+,181
428,51,+,479
593,348,+,941
330,743,+,1073
338,899,+,1237
918,525,+,1443
942,386,+,1328
514,642,+,1156
695,84,+,779
108,987,+,1095
261,393,+,654
37,996,+,1033
574,591,+,1165
88,242,+,330
856,300,+,1156
775,153,+,928
958,27,+,985
149,771,+,920
901,928,+,1829
249,509,+,758
784,562,+,1346
749,23,+,772
429,682,+,1111
711,880,+,1591
428,385,+,813
733,741,+,1474
781,760,+,1541
767,804,+,1571
553,299,+,852
416,806,+,1222
692,738,+,1430
762,894,+,1656
448,40,+,488
519,326,+,845
929,748,+,1677
67,839,+,906
149,778,+,927
139,146,+,285
926,955,+,1881
261,859,+,1120
204,903,+,1107
249,227,+,476
605,936,+,1541
