valor1,valor2,operador,resultado
34,463,/,0.0734341252699784
598,615,/,0.9723577235772358
264,267,/,0.9887640449438202
7,851,/,0.008225616921269096
682,200,/,3.41
90,598,/,0.1505016722408027
993,941,/,1.0552603613177471
6,391,/,0.015345268542199489
245,926,/,0.26457883369330454
799,68,/,11.75
367,674,/,0.5445103857566765
312,754,/,0.41379310344827586
91,3,/,30.333333333333332
865,173,/,5.0
747,770,/,0.9701298701298702
83,879,/,0.09442548350398179
438,240,/,1.825
442,267,/,1.655430711610487
989,796,/,1.2424623115577889
894,704,/,1.2698863636363635
649,173,/,3.7514450867052025
771,551,/,1.399274047186933
126,843,/,0.1494661921708185
402,270,/,1.488888888888889
113,222,/,0.509009009009009
281,680,/,0.41323529411764703
131,422,/,0.3104265402843602
514,962,/,0.5343035343035343
671,138,/,4.86231884057971
442,2,/,221.0
95,926,/,0.10259179265658748
675,153,/,4.411764705882353
39,305,/,0.12786885245901639
685,720,/,0.9513888888888888
537,670,/,0.8014925373134328
619,804,/,0.7699004975124378
837,890,/,0.9404494382022472
567,883,/,0.6421291053227633
517,67,/,7.7164179104477615
655,185,/,3.5405405405405403
100,262,/,0.3816793893129771
610,125,/,4.88
423,687,/,0.6157205240174672
597,605,/,0.9867768595041322
366,856,/,0.42757009345794394
84,262,/,0.32061068702290074
448,645,/,0.6945736434108527
208,507,/,0.41025641025641024
511,911,/,0.5609220636663008
72,565,/,0.12743362831858407
259,635,/,0.4078740157480315
609,512,/,1.189453125
403,112,/,3.5982142857142856
239,485,/,0.4927835051546392
161,522,/,0.30842911877394635
663,74,/,8.95945945945946
670,47,/,14.25531914893617
42,154,/,0.2727272727272727
574,333,/,1.7237237237237237
937,314,/,2.984076433121019
6,860,/,0.0069767441860465115
151,873,/,0.1729667812142039
779,116,/,6.7155172413793105
840,339,/,2.47787610619469
823,897,/,0.9175027870680045
532,864,/,0.6157407407407407
100,984,/,0.1016260162601626
258,723,/,0.35684647302904565
991,499,/,1.9859719438877756
88,359,/,0.24512534818941503
376,935,/,0.4021390374331551
658,573,/,1.1483420593368237
276,402,/,0.6865671641791045
60,815,/,0.0736196319018405
292,381,/,0.7664041994750657
459,433,/,1.0600461893764435
139,742,/,0.18733153638814015
711,22,/,32.31818181818182
228,655,/,0.3480916030534351
40,925,/,0.043243243243243246
889,252,/,3.5277777777777777
885,119,/,7.436974789915967
717,154,/,4.6558441558441555
890,715,/,1.2447552447552448
459,39,/,11.76923076923077
244,958,/,0.2546972860125261
782,742,/,1.0539083557951483
373,150,/,2.486666666666667
652,820,/,0.7951219512195122
26,520,/,0.05
487,869,/,0.5604142692750288
764,124,/,6.161290322580645
225,701,/,0.3209700427960057
426,506,/,0.841897233201581
700,910,/,0.7692307692307693
102,355,/,0.28732394366197184
927,658,/,1.4088145896656534
149,326,/,0.4570552147239264
545,298,/,1.8288590604026846
923,109,/,8.46788990825688
506,54,/,9.37037037037037
78,148,/,0.527027027027027
904,616,/,1.4675324675324675
326,406,/,0.8029556650246306
897,162,/,5.537037037037037
410,63,/,6.507936507936508
825,320,/,2.578125
218,644,/,0.3385093167701863
545,565,/,0.9646017699115044
57,882,/,0.06462585034013606
624,485,/,1.28659793814433
1,985,/,0.0010152284263959391
418,902,/,0.4634146341463415
123,998,/,0.12324649298597194
501,829,/,0.6043425814234017
664,228,/,2.912280701754386
826,217,/,3.806451612903226
304,781,/,0.3892445582586428
877,271,/,3.236162361623616
170,53,/,3.207547169811321
916,489,/,1.8732106339468302
133,124,/,1.0725806451612903
612,140,/,4.371428571428571
525,253,/,2.075098814229249
265,439,/,0.6036446469248291
593,477,/,1.2431865828092243
350,576,/,0.6076388888888888
997,453,/,2.2008830022075054
102,242,/,0.4214876033057851
434,38,/,11.421052631578947
118,978,/,0.12065439672801637
576,451,/,1.2771618625277161
150,387,/,0.3875968992248062
20,39,/,0.5128205128205128
565,628,/,0.8996815286624203
570,295,/,1.9322033898305084
982,724,/,1.356353591160221
788,571,/,1.3800350262697023
596,766,/,0.7780678851174935
907,977,/,0.9283520982599796
802,800,/,1.0025
308,969,/,0.31785345717234265
274,848,/,0.3231132075471698
560,69,/,8.115942028985508
435,866,/,0.5023094688221709
450,390,/,1.1538461538461537
529,203,/,2.605911330049261
508,409,/,1.2420537897310513
36,492,/,0.07317073170731707
691,739,/,0.9350473612990527
799,707,/,1.1301272984441302
607,533,/,1.1388367729831144
394,695,/,0.5669064748201439
34,494,/,0.06882591093117409
194,339,/,0.5722713864306784
505,146,/,3.458904109589041
387,715,/,0.5412587412587413
606,214,/,2.8317757009345796
215,835,/,0.25748502994011974
538,705,/,0.7631205673758865
113,560,/,0.2017857142857143
256,223,/,1.147982062780269
448,440,/,1.018181818181818
180,682,/,0.26392961876832843
501,784,/,0.639030612244898
425,27,/,15.74074074074074
822,993,/,0.8277945619335347
541,661,/,0.8184568835098336
405,603,/,0.6716417910447762
600,297,/,2.0202020202020203
396,456,/,0.868421052631579
170,673,/,0.2526002971768202
25,612,/,0.04084967320261438
167,409,/,0.4083129584352078
985,741,/,1.329284750337382
872,711,/,1.2264416315049227
621,747,/,0.8313253012048193
587,556,/,1.0557553956834533
539,979,/,0.550561797752809
126,637,/,0.1978021978021978
951,470,/,2.023404255319149
825,920,/,0.8967391304347826
475,22,/,21.59090909090909
611,245,/,2.4938775510204083
55,778,/,0.07069408740359898
739,833,/,0.8871548619447779
332,629,/,0.5278219395866455
731,136,/,5.375
200,286,/,0.6993006993006993
226,326,/,0.6932515337423313
895,722,/,1.239612188365651
670,585,/,1.1452991452991452
213,789,/,0.26996197718631176
835,667,/,1.2518740629685157
786,810,/,0.9703703703703703
635,380,/,1.6710526315789473
897,116,/,7.732758620689655
92,566,/,0.1625441696113074
650,99,/,6.565656565656566
211,814,/,0.2592137592137592
228,702,/,0.3247863247863248
532,869,/,0.6121979286536249
900,855,/,1.0526315789473684
326,811,/,0.40197287299630086
764,48,/,15.916666666666666
115,185,/,0.6216216216216216
541,393,/,1.376590330788804
362,155,/,2.335483870967742
978,638,/,1.5329153605015673
679,876,/,0.7751141552511416
147,125,/,1.176
931,116,/,8.025862068965518
804,86,/,9.348837209302326
859,833,/,1.0312124849939976
869,210,/,4.1380952380952385
243,731,/,0.332421340629275
61,369,/,0.16531165311653118
797,732,/,1.0887978142076502
847,168,/,5.041666666666667
678,55,/,12.327272727272728
433,417,/,1.038369304556355
124,163,/,0.7607361963190185
973,188,/,5.175531914893617
298,224,/,1.3303571428571428
601,398,/,1.5100502512562815
533,27,/,19.74074074074074
792,897,/,0.882943143812709
23,853,/,0.026963657678780773
218,507,/,0.42998027613412226
963,40,/,24.075
159,906,/,0.17549668874172186
93,969,/,0.09597523219814241
897,750,/,1.196
6,108,/,0.05555555555555555
506,96,/,5.270833333333333
941,632,/,1.4889240506329113
454,251,/,1.8087649402390438
414,540,/,0.7666666666666667
958,520,/,1.8423076923076922
831,423,/,1.9645390070921986
246,925,/,0.26594594594594595
979,27,/,36.25925925925926
8,427,/,0.01873536299765808
715,937,/,0.7630736392742796
915,476,/,1.9222689075630253
309,929,/,0.3326157158234661
861,766,/,1.1240208877284594
325,415,/,0.7831325301204819
505,858,/,0.5885780885780886
549,494,/,1.111336032388664
996,251,/,3.9681274900398407
452,383,/,1.1801566579634464
883,346,/,2.552023121387283
214,230,/,0.9304347826086956
897,633,/,1.4170616113744077
938,860,/,1.0906976744186045
116,614,/,0.18892508143322476
506,120,/,4.216666666666667
749,625,/,1.1984
288,782,/,0.36828644501278773
303,982,/,0.3085539714867617
218,659,/,0.330804248861912
597,25,/,23.88
971,567,/,1.7125220458553791
357,63,/,5.666666666666667
633,118,/,5.364406779661017
169,380,/,0.44473684210526315
679,233,/,2.9141630901287554
725,996,/,0.7279116465863453
772,124,/,6.225806451612903
24,180,/,0.13333333333333333
899,754,/,1.1923076923076923
711,529,/,1.3440453686200378
692,501,/,1.3812375249500999
912,870,/,1.0482758620689656
603,407,/,1.4815724815724816
418,256,/,1.6328125
517,831,/,0.6221419975932612
338,325,/,1.04
793,549,/,1.4444444444444444
717,428,/,1.675233644859813
251,290,/,0.8655172413793103
966,302,/,3.198675496688742
91,209,/,0.4354066985645933
976,463,/,2.1079913606911447
66,722,/,0.09141274238227147
26,414,/,0.06280193236714976
809,74,/,10.932432432432432
343,359,/,0.9554317548746518
527,823,/,0.6403402187120292
785,580,/,1.353448275862069
94,290,/,0.32413793103448274
694,770,/,0.9012987012987013
837,773,/,1.0827943078913325
198,483,/,0.40993788819875776
611,67,/,9.119402985074627
849,729,/,1.1646090534979423
106,663,/,0.15987933634992457
504,648,/,0.7777777777777778
509,2,/,254.5
538,238,/,2.2605042016806722
158,533,/,0.2964352720450281
788,596,/,1.3221476510067114
575,213,/,2.699530516431925
603,205,/,2.9414634146341463
534,608,/,0.8782894736842105
954,817,/,1.167686658506732
266,544,/,0.4889705882352941
931,485,/,1.9195876288659794
15,396,/,0.03787878787878788
739,948,/,0.7795358649789029
773,36,/,21.47222222222222
707,118,/,5.991525423728813
700,348,/,2.0114942528735633
733,327,/,2.241590214067278
113,826,/,0.1368038740920097
736,614,/,1.1986970684039089
57,795,/,0.07169811320754717
543,214,/,2.5373831775700935
125,892,/,0.14013452914798205
659,965,/,0.6829015544041451
240,247,/,0.97165991902834
511,643,/,0.7947122861586314
932,365,/,2.5534246575342467
449,599,/,0.7495826377295493
338,449,/,0.7527839643652561
74,66,/,1.121212121212121
243,235,/,1.0340425531914894
680,558,/,1.2186379928315412
915,627,/,1.4593301435406698
623,696,/,0.8951149425287356
380,978,/,0.3885480572597137
489,520,/,0.9403846153846154
892,27,/,33.03703703703704
301,851,/,0.3537015276145711
959,723,/,1.326417704011065
920,277,/,3.32129963898917
817,190,/,4.3
372,700,/,0.5314285714285715
201,575,/,0.34956521739130436
976,503,/,1.9403578528827037
775,83,/,9.337349397590362
748,14,/,53.42857142857143
635,822,/,0.7725060827250608
205,972,/,0.2109053497942387
303,462,/,0.6558441558441559
583,427,/,1.3653395784543325
205,800,/,0.25625
380,232,/,1.6379310344827587
531,122,/,4.352459016393443
556,520,/,1.0692307692307692
302,777,/,0.3886743886743887
405,483,/,0.8385093167701864
551,472,/,1.1673728813559323
107,57,/,1.8771929824561404
226,451,/,0.5011086474501109
301,158,/,1.9050632911392404
285,117,/,2.4358974358974357
373,543,/,0.6869244935543278
231,497,/,0.4647887323943662
175,508,/,0.34448818897637795
904,635,/,1.4236220472440946
283,786,/,0.36005089058524176
398,364,/,1.0934065934065933
296,671,/,0.44113263785394935
155,898,/,0.17260579064587972
358,610,/,0.5868852459016394
781,507,/,1.5404339250493098
48,167,/,0.2874251497005988
608,431,/,1.4106728538283062
274,716,/,0.38268156424581007
253,43,/,5.883720930232558
388,844,/,0.4597156398104265
213,573,/,0.3717277486910995
374,496,/,0.7540322580645161
364,238,/,1.5294117647058822
496,508,/,0.9763779527559056
945,310,/,3.0483870967741935
799,174,/,4.591954022988506
698,317,/,2.2018927444794953
495,4,/,123.75
420,610,/,0.6885245901639344
108,99,/,1.0909090909090908
215,966,/,0.2225672877846791
151,168,/,0.8988095238095238
577,641,/,0.9001560062402496
150,49,/,3.061224489795918
487,807,/,0.6034696406443618
158,693,/,0.227994227994228
125,875,/,0.14285714285714285
55,615,/,0.08943089430894309
720,382,/,1.8848167539267016
342,675,/,0.5066666666666667
411,161,/,2.5527950310559007
117,255,/,0.4588235294117647
112,22,/,5.090909090909091
515,14,/,36.785714285714285
432,458,/,0.9432314410480349
805,833,/,0.9663865546218487
266,547,/,0.48628884826325414
430,485,/,0.8865979381443299
311,468,/,0.6645299145299145
686,670,/,1.0238805970149254
64,983,/,0.06510681586978637
571,770,/,0.7415584415584415
103,41,/,2.5121951219512195
798,659,/,1.2109256449165402
10,244,/,0.040983606557377046
457,276,/,1.6557971014492754
537,74,/,7.256756756756757
934,624,/,1.4967948717948718
870,374,/,2.3262032085561497
467,995,/,0.46934673366834173
475,239,/,1.9874476987447698
6,729,/,0.00823045267489712
733,736,/,0.9959239130434783
113,669,/,0.16890881913303438
264,711,/,0.37130801687763715
887,892,/,0.9943946188340808
626,784,/,0.798469387755102
301,904,/,0.3329646017699115
527,916,/,0.5753275109170306
17,974,/,0.017453798767967144
805,489,/,1.6462167689161553
167,872,/,0.1915137614678899
520,915,/,0.5683060109289617
231,117,/,1.9743589743589745
253,741,/,0.34143049932523617
369,3,/,123.0
784,9,/,87.11111111111111
142,614,/,0.23127035830618892
115,223,/,0.515695067264574
424,976,/,0.4344262295081967
349,7,/,49.857142857142854
163,206,/,0.7912621359223301
841,947,/,0.8880675818373812
263,198,/,1.3282828282828283
905,719,/,1.2586926286509041
329,526,/,0.6254752851711026
381,397,/,0.9596977329974811
841,509,/,1.6522593320235757
207,950,/,0.21789473684210525
190,727,/,0.2613480055020633
417,274,/,1.5218978102189782
296,695,/,0.42589928057553955
6,201,/,0.029850746268656716
574,203,/,2.8275862068965516
617,777,/,0.7940797940797941
277,193,/,1.4352331606217616
699,794,/,0.8803526448362721
584,17,/,34.35294117647059
705,150,/,4.7
332,432,/,0.7685185185185185
853,804,/,1.0609452736318408
826,155,/,5.329032258064516
132,285,/,0.4631578947368421
278,875,/,0.3177142857142857
512,95,/,5.389473684210526
13,872,/,0.014908256880733946
875,131,/,6.679389312977099
254,325,/,0.7815384615384615
4,112,/,0.03571428571428571
308,28,/,11.0
305,480,/,0.6354166666666666
639,338,/,1.8905325443786982
911,381,/,2.391076115485564
292,277,/,1.0541516245487366
978,857,/,1.1411901983663943
785,468,/,1.6773504273504274
286,506,/,0.5652173913043478
265,286,/,0.9265734265734266
213,242,/,0.8801652892561983
648,719,/,0.9012517385257302
329,487,/,0.675564681724846
369,589,/,0.6264855687606112
249,653,/,0.38131699846860645
232,296,/,0.7837837837837838
793,392,/,2.0229591836734695
262,542,/,0.4833948339483395
867,466,/,1.8605150214592274
584,419,/,1.3937947494033414
580,215,/,2.697674418604651
750,743,/,1.009421265141319
28,694,/,0.040345821325648415
816,953,/,0.8562434417628542
508,298,/,1.7046979865771812
745,196,/,3.8010204081632653
658,191,/,3.445026178010471
333,473,/,0.7040169133192389
634,192,/,3.3020833333333335
597,707,/,0.8444130127298444
448,524,/,0.8549618320610687
513,142,/,3.612676056338028
856,29,/,29.517241379310345
776,271,/,2.8634686346863467
350,606,/,0.5775577557755776
958,10,/,95.8
950,554,/,1.7148014440433212
543,73,/,7.438356164383562
520,401,/,1.2967581047381547
905,352,/,2.571022727272727
524,821,/,0.6382460414129111
417,245,/,1.7020408163265306
269,630,/,0.42698412698412697
795,100,/,7.95
850,73,/,11.643835616438356
96,334,/,0.2874251497005988
182,753,/,0.24169986719787517
990,211,/,4.691943127962086
289,641,/,0.45085803432137284
413,942,/,0.43842887473460723
36,524,/,0.06870229007633588
122,982,/,0.12423625254582485
975,532,/,1.8327067669172932
377,824,/,0.4575242718446602
958,744,/,1.2876344086021505
63,533,/,0.11819887429643527
989,853,/,1.1594372801875732
89,599,/,0.14858096828046743
768,169,/,4.544378698224852
655,878,/,0.7460136674259681
857,6,/,142.83333333333334
928,350,/,2.6514285714285712
878,242,/,3.628099173553719
547,61,/,8.967213114754099
588,606,/,0.9702970297029703
624,920,/,0.6782608695652174
580,928,/,0.625
802,611,/,1.3126022913256956
675,154,/,4.383116883116883
308,743,/,0.414535666218035
705,329,/,2.142857142857143
242,621,/,0.3896940418679549
815,901,/,0.904550499445061
561,243,/,2.308641975308642
288,656,/,0.43902439024390244
159,177,/,0.8983050847457628
56,325,/,0.1723076923076923
346,735,/,0.4707482993197279
836,533,/,1.5684803001876173
466,775,/,0.6012903225806452
387,424,/,0.9127358490566038
251,992,/,0.2530241935483871
869,729,/,1.1920438957475994
590,749,/,0.787716955941255
48,189,/,0.25396825396825395
642,854,/,0.7517564402810304
396,90,/,4.4
516,645,/,0.8
439,557,/,0.7881508078994613
845,468,/,1.8055555555555556
654,491,/,1.3319755600814664
365,23,/,15.869565217391305
107,495,/,0.21616161616161617
34,483,/,0.07039337474120083
281,970,/,0.28969072164948456
298,498,/,0.5983935742971888
641,936,/,0.6848290598290598
557,410,/,1.3585365853658538
572,664,/,0.8614457831325302
676,49,/,13.795918367346939
569,925,/,0.6151351351351352
493,582,/,0.8470790378006873
560,139,/,4.028776978417266
937,29,/,32.310344827586206
397,995,/,0.39899497487437185
464,465,/,0.9978494623655914
625,354,/,1.765536723163842
217,249,/,0.8714859437751004
821,385,/,2.1324675324675324
949,171,/,5.549707602339181
249,880,/,0.28295454545454546
763,498,/,1.5321285140562249
628,112,/,5.607142857142857
345,41,/,8.414634146341463
977,548,/,1.782846715328467
170,256,/,0.6640625
502,648,/,0.7746913580246914
978,971,/,1.007209062821833
646,235,/,2.748936170212766
166,110,/,1.509090909090909
588,766,/,0.7676240208877284
335,433,/,0.7736720554272517
203,831,/,0.24428399518652227
36,6,/,6.0
305,211,/,1.4454976303317535
847,719,/,1.1780250347705146
637,330,/,1.9303030303030304
331,677,/,0.48892171344165436
56,514,/,0.10894941634241245
593,322,/,1.8416149068322982
551,140,/,3.9357142857142855
352,275,/,1.28
366,101,/,3.623762376237624
936,46,/,20.347826086956523
