valor1,valor2,operador,resultado
996,948,*,944208
919,947,*,870293
751,28,*,21028
742,913,*,677446
152,533,*,81016
511,769,*,392959
288,294,*,84672
994,196,*,194824
961,789,*,758229
805,735,*,591675
891,392,*,349272
290,812,*,235480
263,497,*,130711
930,772,*,717960
898,717,*,643866
601,552,*,331752
290,265,*,76850
641,9,*,5769
412,418,*,172216
891,220,*,196020
720,486,*,349920
101,164,*,16564
845,745,*,629525
890,661,*,588290
965,30,*,28950
722,167,*,120574
502,207,*,103914
681,184,*,125304
651,192,*,124992
349,471,*,164379
83,21,*,1743
173,655,*,113315
997,770,*,767690
154,695,*,107030
232,71,*,16472
477,644,*,307188
854,140,*,119560
396,587,*,232452
654,321,*,209934
20,581,*,11620
497,421,*,209237
840,286,*,240240
731,820,*,599420
359,942,*,338178
787,876,*,689412
287,393,*,112791
336,941,*,316176
819,607,*,497133
844,839,*,708116
665,787,*,523355
650,610,*,396500
643,224,*,144032
283,254,*,71882
665,826,*,549290
808,497,*,401576
412,691,*,284692
281,672,*,188832
900,812,*,730800
949,554,*,525746
452,791,*,357532
240,321,*,77040
433,862,*,373246
27,982,*,26514
63,735,*,46305
808,612,*,494496
428,891,*,381348
811,788,*,639068
805,629,*,506345
632,675,*,426600
358,697,*,249526
885,367,*,324795
522,536,*,279792
634,993,*,629562
676,771,*,521196
885,312,*,276120
118,911,*,107498
760,517,*,392920
638,506,*,322828
395,217,*,85715
156,102,*,15912
867,776,*,672792
506,535,*,270710
36,308,*,11088
108,3,*,324
380,831,*,315780
396,416,*,164736
400,177,*,70800
728,152,*,110656
216,243,*,52488
387,828,*,320436
520,392,*,203840
300,349,*,104700
305,96,*,29280
33,684,*,22572
305,257,*,78385
111,734,*,81474
576,715,*,411840
466,256,*,119296
330,949,*,313170
488,511,*,249368
259,29,*,7511
631,422,*,266282
986,208,*,205088
451,741,*,334191
844,397,*,335068
495,471,*,233145
253,512,*,129536
497,869,*,431893
39,647,*,25233
202,180,*,36360
371,619,*,229649
344,235,*,80840
108,889,*,96012
846,697,*,589662
541,835,*,451735
755,988,*,745940
786,304,*,238944
382,200,*,76400
990,733,*,725670
507,314,*,159198
478,932,*,445496
657,62,*,40734
184,330,*,60720
462,928,*,428736
474,814,*,385836
269,424,*,114056
455,323,*,146965
56,437,*,24472
765,826,*,631890
644,782,*,503608
65,631,*,41015
187,902,*,168674
661,529,*,349669
652,269,*,175388
336,499,*,167664
921,507,*,466947
866,79,*,68414
458,601,*,275258
518,252,*,130536
937,724,*,678388
62,507,*,31434
282,336,*,94752
152,779,*,118408
330,39,*,12870
838,804,*,673752
183,260,*,47580
877,154,*,135058
601,631,*,379231
251,336,*,84336
260,50,*,13000
482,847,*,408254
327,765,*,250155
693,696,*,482328
890,772,*,687080
430,804,*,345720
943,820,*,773260
356,43,*,15308
812,264,*,214368
420,241,*,101220
708,346,*,244968
95,100,*,9500
408,146,*,59568
242,954,*,230868
931,150,*,139650
953,699,*,666147
994,720,*,715680
847,632,*,535304
272,569,*,154768
821,473,*,388333
426,603,*,256878
794,56,*,44464
243,552,*,134136
19,337,*,6403
809,89,*,72001
985,47,*,46295
205,773,*,158465
958,826,*,791308
278,867,*,241026
582,454,*,264228
278,191,*,53098
820,324,*,265680
787,998,*,785426
459,102,*,46818
884,919,*,812396
923,379,*,349817
824,147,*,121128
844,179,*,151076
271,802,*,217342
834,322,*,268548
680,471,*,320280
969,4,*,3876
899,341,*,306559
841,293,*,246413
784,4,*,3136
475,180,*,85500
412,561,*,231132
162,551,*,89262
642,920,*,590640
48,776,*,37248
198,477,*,94446
799,681,*,544119
376,69,*,25944
156,88,*,13728
921,701,*,645621
15,699,*,10485
740,397,*,293780
714,898,*,641172
190,494,*,93860
325,455,*,147875
856,529,*,452824
163,322,*,52486
637,965,*,614705
551,723,*,398373
31,312,*,9672
149,437,*,65113
900,975,*,877500
541,709,*,383569
962,82,*,78884
191,198,*,37818
743,849,*,630807
768,267,*,205056
784,453,*,355152
597,214,*,127758
543,622,*,337746
130,725,*,94250
217,536,*,116312
973,137,*,133301
312,686,*,214032
674,107,*,72118
553,82,*,45346
505,103,*,52015
696,7,*,4872
760,302,*,229520
247,625,*,154375
718,439,*,315202
3,305,*,915
992,596,*,591232
934,859,*,802306
815,140,*,114100
964,453,*,436692
461,857,*,395077
340,604,*,205360
640,708,*,453120
341,173,*,58993
215,924,*,198660
143,623,*,89089
795,294,*,233730
98,402,*,39396
412,916,*,377392
67,691,*,46297
114,865,*,98610
696,252,*,175392
468,930,*,435240
264,522,*,137808
466,781,*,363946
478,440,*,210320
402,533,*,214266
723,378,*,273294
914,858,*,784212
95,934,*,88730
956,891,*,851796
775,152,*,117800
719,567,*,407673
734,805,*,590870
718,753,*,540654
496,988,*,490048
780,381,*,297180
429,359,*,154011
296,524,*,155104
771,115,*,88665
717,26,*,18642
512,273,*,139776
22,329,*,7238
443,179,*,79297
500,11,*,5500
187,908,*,169796
427,966,*,412482
375,189,*,70875
439,340,*,149260
835,345,*,288075
331,283,*,93673
752,89,*,66928
808,751,*,606808
616,211,*,129976
889,836,*,743204
431,613,*,264203
552,378,*,208656
461,434,*,200074
826,687,*,567462
452,571,*,258092
928,685,*,635680
934,272,*,254048
610,904,*,551440
549,836,*,458964
799,297,*,237303
277,215,*,59555
440,582,*,256080
171,817,*,139707
583,644,*,375452
767,567,*,434889
155,808,*,125240
879,312,*,274248
340,17,*,5780
955,881,*,841355
305,958,*,292190
541,757,*,409537
322,5,*,1610
770,418,*,321860
803,369,*,296307
677,745,*,504365
134,326,*,43684
394,321,*,126474
788,1,*,788
186,747,*,138942
202,305,*,61610
519,972,*,504468
793,837,*,663741
905,284,*,257020
909,17,*,15453
704,303,*,213312
911,150,*,136650
522,130,*,67860
951,364,*,346164
976,461,*,449936
622,463,*,287986
993,886,*,879798
312,180,*,56160
368,477,*,175536
321,29,*,9309
953,74,*,70522
144,586,*,84384
787,186,*,146382
504,474,*,238896
690,539,*,371910
309,807,*,249363
319,425,*,135575
944,284,*,268096
220,965,*,212300
216,848,*,183168
399,815,*,325185
328,389,*,127592
362,533,*,192946
498,178,*,88644
586,348,*,203928
302,949,*,286598
660,474,*,312840
220,308,*,67760
623,164,*,102172
760,715,*,543400
740,725,*,536500
393,813,*,319509
593,571,*,338603
30,171,*,5130
865,336,*,290640
888,928,*,824064
865,108,*,93420
953,204,*,194412
730,830,*,605900
750,131,*,98250
971,311,*,301981
196,854,*,167384
440,898,*,395120
188,346,*,65048
676,626,*,423176
71,604,*,42884
242,286,*,69212
754,6,*,4524
796,736,*,585856
489,983,*,480687
853,607,*,517771
776,701,*,543976
180,352,*,63360
79,692,*,54668
746,606,*,452076
738,746,*,550548
442,857,*,378794
926,234,*,216684
436,161,*,70196
495,395,*,195525
445,278,*,123710
638,231,*,147378
247,224,*,55328
405,111,*,44955
840,221,*,185640
518,206,*,106708
333,836,*,278388
586,69,*,40434
116,865,*,100340
14,846,*,11844
948,135,*,127980
980,493,*,483140
859,910,*,781690
122,31,*,3782
243,544,*,132192
786,504,*,396144
579,317,*,183543
141,213,*,30033
983,884,*,868972
688,566,*,389408
362,883,*,319646
784,951,*,745584
405,311,*,125955
732,522,*,382104
441,953,*,420273
442,444,*,196248
819,827,*,677313
29,627,*,18183
386,611,*,235846
56,803,*,44968
604,260,*,157040
495,826,*,408870
125,634,*,79250
