valor1,valor2,operador,resultado
535,839,/,0.6376638855780691
266,209,/,1.2727272727272727
847,805,/,1.0521739130434782
251,971,/,0.2584963954685891
473,439,/,1.0774487471526195
180,895,/,0.2011173184357542
426,727,/,0.5859697386519945
691,294,/,2.3503401360544216
616,87,/,7.080459770114943
26,939,/,0.027689030883919063
268,745,/,0.3597315436241611
845,348,/,2.42816091954023
268,285,/,0.9403508771929825
587,692,/,0.8482658959537572
872,480,/,1.8166666666666667
35,191,/,0.18324607329842932
403,805,/,0.5006211180124224
839,383,/,2.1906005221932117
928,84,/,11.047619047619047
84,257,/,0.32684824902723736
399,372,/,1.0725806451612903
54,441,/,0.12244897959183673
984,172,/,5.72093023255814
992,782,/,1.2685421994884911
480,277,/,1.7328519855595668
759,792,/,0.9583333333333334
665,872,/,0.7626146788990825
72,168,/,0.42857142857142855
518,839,/,0.6174016686531585
242,423,/,0.5721040189125296
628,56,/,11.214285714285714
159,426,/,0.3732394366197183
56,460,/,0.12173913043478261
608,69,/,8.81159420289855
777,61,/,12.737704918032787
960,551,/,1.7422867513611615
904,414,/,2.183574879227053
981,508,/,1.9311023622047243
245,248,/,0.9879032258064516
594,451,/,1.3170731707317074
352,904,/,0.3893805309734513
794,738,/,1.075880758807588
340,714,/,0.47619047619047616
407,63,/,6.4603174603174605
772,436,/,1.7706422018348624
724,360,/,2.011111111111111
285,505,/,0.5643564356435643
48,687,/,0.06986899563318777
489,363,/,1.3471074380165289
734,172,/,4.267441860465116
256,719,/,0.3560500695410292
317,588,/,0.5391156462585034
720,283,/,2.5441696113074204
95,844,/,0.11255924170616113
491,871,/,0.563719862227325
784,34,/,23.058823529411764
40,464,/,0.08620689655172414
722,192,/,3.7604166666666665
33,45,/,0.7333333333333333
580,13,/,44.61538461538461
479,756,/,0.6335978835978836
867,691,/,1.2547033285094067
38,598,/,0.06354515050167224
101,462,/,0.21861471861471862
180,66,/,2.727272727272727
782,603,/,1.296849087893864
325,267,/,1.2172284644194757
593,583,/,1.0171526586620927
229,22,/,10.409090909090908
178,73,/,2.4383561643835616
816,29,/,28.137931034482758
815,882,/,0.9240362811791383
854,922,/,0.9262472885032538
381,814,/,0.4680589680589681
724,688,/,1.052325581395349
498,365,/,1.3643835616438356
727,600,/,1.2116666666666667
217,476,/,0.45588235294117646
748,50,/,14.96
705,110,/,6.409090909090909
85,516,/,0.16472868217054262
909,522,/,1.7413793103448276
418,106,/,3.943396226415094
185,365,/,0.5068493150684932
554,365,/,1.5178082191780822
693,516,/,1.3430232558139534
440,255,/,1.7254901960784315
181,96,/,1.8854166666666667
812,920,/,0.8826086956521739
371,300,/,1.2366666666666666
643,741,/,0.8677462887989204
307,11,/,27.90909090909091
152,958,/,0.15866388308977036
126,187,/,0.6737967914438503
563,423,/,1.33096926713948
480,893,/,0.5375139977603584
306,690,/,0.4434782608695652
290,516,/,0.562015503875969
617,665,/,0.9278195488721804
331,491,/,0.6741344195519349
794,698,/,1.1375358166189111
223,618,/,0.36084142394822005
608,778,/,0.781491002570694
327,701,/,0.4664764621968616
399,66,/,6.045454545454546
213,27,/,7.888888888888889
255,53,/,4.811320754716981
797,978,/,0.8149284253578732
185,239,/,0.7740585774058577
250,97,/,2.577319587628866
645,983,/,0.6561546286876907
150,687,/,0.2183406113537118
894,392,/,2.2806122448979593
53,618,/,0.08576051779935275
806,38,/,21.210526315789473
672,958,/,0.7014613778705637
835,874,/,0.9553775743707094
561,833,/,0.673469387755102
317,269,/,1.178438661710037
67,300,/,0.22333333333333333
734,261,/,2.8122605363984676
866,716,/,1.2094972067039107
547,176,/,3.1079545454545454
416,697,/,0.5968436154949784
494,626,/,0.7891373801916933
464,581,/,0.7986230636833046
892,120,/,7.433333333333334
126,701,/,0.1797432239657632
250,108,/,2.314814814814815
314,446,/,0.7040358744394619
566,430,/,1.3162790697674418
850,515,/,1.6504854368932038
235,554,/,0.42418772563176893
817,981,/,0.8328236493374108
59,80,/,0.7375
588,288,/,2.0416666666666665
625,756,/,0.8267195767195767
329,62,/,5.306451612903226
192,14,/,13.714285714285714
234,986,/,0.23732251521298176
951,997,/,0.9538615847542627
343,493,/,0.6957403651115619
380,909,/,0.41804180418041803
941,259,/,3.6332046332046333
924,56,/,16.5
24,860,/,0.027906976744186046
326,69,/,4.72463768115942
295,191,/,1.544502617801047
738,593,/,1.2445193929173692
243,382,/,0.6361256544502618
