valor1,valor2,operador,resultado
611,877,-,-266
166,839,-,-673
277,365,-,-88
803,782,-,21
18,754,-,-736
382,578,-,-196
642,570,-,72
37,282,-,-245
816,331,-,485
367,596,-,-229
796,280,-,516
236,657,-,-421
309,55,-,254
344,880,-,-536
994,907,-,87
896,795,-,101
484,335,-,149
790,116,-,674
989,887,-,102
532,909,-,-377
424,226,-,198
493,405,-,88
679,718,-,-39
71,858,-,-787
790,626,-,164
716,895,-,-179
535,919,-,-384
15,391,-,-376
346,281,-,65
436,7,-,429
486,295,-,191
905,393,-,512
214,972,-,-758
699,744,-,-45
302,549,-,-247
362,632,-,-270
783,158,-,625
184,3,-,181
523,124,-,399
518,700,-,-182
782,1,-,781
113,449,-,-336
859,937,-,-78
94,516,-,-422
767,853,-,-86
888,103,-,785
81,709,-,-628
914,606,-,308
358,183,-,175
891,267,-,624
269,48,-,221
73,892,-,-819
839,717,-,122
239,543,-,-304
321,442,-,-121
94,916,-,-822
873,727,-,146
866,349,-,517
644,108,-,536
967,112,-,855
169,695,-,-526
369,222,-,147
417,86,-,331
714,66,-,648
426,801,-,-375
64,589,-,-525
388,480,-,-92
591,558,-,33
60,30,-,30
786,292,-,494
734,218,-,516
96,184,-,-88
98,608,-,-510
541,346,-,195
421,509,-,-88
270,994,-,-724
139,554,-,-415
769,92,-,677
629,894,-,-265
662,649,-,13
662,438,-,224
519,192,-,327
906,114,-,792
937,633,-,304
168,980,-,-812
607,264,-,343
853,699,-,154
548,473,-,75
470,651,-,-181
670,725,-,-55
58,505,-,-447
439,173,-,266
393,701,-,-308
27,805,-,-778
461,846,-,-385
320,81,-,239
332,141,-,191
745,940,-,-195
190,552,-,-362
352,709,-,-357
19,990,-,-971
799,905,-,-106
45,620,-,-575
846,985,-,-139
804,936,-,-132
503,97,-,406
370,233,-,137
678,501,-,177
155,172,-,-17
938,402,-,536
475,900,-,-425
334,923,-,-589
292,141,-,151
210,435,-,-225
741,196,-,545
579,246,-,333
664,819,-,-155
402,985,-,-583
430,563,-,-133
460,68,-,392
595,271,-,324
189,737,-,-548
784,497,-,287
88,240,-,-152
499,902,-,-403
513,337,-,176
130,706,-,-576
153,873,-,-720
55,477,-,-422
326,207,-,119
952,158,-,794
231,188,-,43
994,335,-,659
392,909,-,-517
930,14,-,916
162,54,-,108
140,204,-,-64
319,716,-,-397
35,46,-,-11
476,255,-,221
300,827,-,-527
792,551,-,241
831,409,-,422
717,184,-,533
468,825,-,-357
947,931,-,16
834,235,-,599
635,571,-,64
896,338,-,558
548,916,-,-368
