valor1,valor2,operador,resultado
560,312,/,2
827,914,/,1
746,664,/,1
235,957,/,0
765,334,/,2
772,54,/,14
558,225,/,2
731,785,/,1
367,248,/,1
703,98,/,7
357,406,/,1
782,967,/,1
219,526,/,0
768,759,/,1
25,60,/,0
591,618,/,1
392,421,/,1
467,678,/,1
45,781,/,0
781,219,/,4
301,885,/,0
240,481,/,0
418,160,/,3
861,729,/,1
544,309,/,2
768,21,/,37
408,782,/,1
121,295,/,0
764,105,/,7
922,908,/,1
2,227,/,0
780,482,/,2
391,320,/,1
457,67,/,7
180,710,/,0
190,280,/,1
35,829,/,0
244,115,/,2
687,249,/,3
331,409,/,1
766,924,/,1
106,370,/,0
376,660,/,1
517,380,/,1
27,131,/,0
498,502,/,1
154,21,/,7
579,170,/,3
530,928,/,1
697,765,/,1
570,543,/,1
219,572,/,0
674,93,/,7
554,914,/,1
503,216,/,2
222,679,/,0
664,327,/,2
719,156,/,5
16,547,/,0
1,798,/,0
658,754,/,1
25,951,/,0
633,825,/,1
699,904,/,1
347,138,/,3
170,126,/,1
256,652,/,0
621,621,/,1
519,151,/,3
188,21,/,9
650,425,/,2
58,616,/,0
571,519,/,1
625,563,/,1
716,560,/,1
179,148,/,1
477,445,/,1
220,301,/,1
328,715,/,0
340,362,/,1
262,3,/,87
940,658,/,1
645,819,/,1
43,64,/,1
844,71,/,12
646,376,/,2
168,303,/,1
915,226,/,4
172,885,/,0
789,547,/,1
987,759,/,1
67,228,/,0
337,962,/,0
434,270,/,2
174,95,/,2
247,217,/,1
36,758,/,0
614,216,/,3
967,366,/,3
783,978,/,1
865,497,/,2
196,265,/,1
34,719,/,0
383,885,/,0
465,861,/,1
418,333,/,1
903,144,/,6
272,409,/,1
656,636,/,1
163,459,/,0
646,456,/,1
828,192,/,4
628,583,/,1
198,26,/,8
866,90,/,10
42,815,/,0
411,115,/,4
955,415,/,2
738,256,/,3
825,144,/,6
312,120,/,3
71,932,/,0
679,113,/,6
