valor1,valor2,operador,resultado
876,464,*,406464
552,177,*,97704
493,522,*,257346
288,909,*,261792
941,956,*,899596
837,257,*,215109
90,756,*,68040
418,901,*,376618
403,953,*,384059
773,617,*,476941
822,623,*,512106
243,602,*,146286
422,314,*,132508
511,609,*,311199
772,19,*,14668
525,441,*,231525
801,70,*,56070
707,779,*,550753
726,231,*,167706
321,752,*,241392
356,583,*,207548
631,522,*,329382
820,690,*,565800
906,120,*,108720
145,844,*,122380
83,951,*,78933
716,845,*,605020
68,610,*,41480
716,17,*,12172
324,143,*,46332
428,958,*,410024
890,974,*,866860
613,818,*,501434
979,329,*,322091
277,26,*,7202
94,948,*,89112
564,174,*,98136
169,580,*,98020
781,538,*,420178
632,719,*,454408
856,585,*,500760
510,737,*,375870
539,366,*,197274
942,556,*,523752
307,572,*,175604
897,249,*,223353
910,451,*,410410
645,8,*,5160
163,387,*,63081
851,425,*,361675
622,575,*,357650
956,602,*,575512
755,709,*,535295
598,711,*,425178
38,933,*,35454
152,997,*,151544
577,264,*,152328
304,666,*,202464
911,943,*,859073
656,842,*,552352
264,365,*,96360
153,357,*,54621
356,460,*,163760
482,634,*,305588
697,221,*,154037
577,501,*,289077
917,653,*,598801
453,326,*,147678
248,758,*,187984
178,656,*,116768
599,836,*,500764
412,884,*,364208
715,489,*,349635
96,297,*,28512
16,303,*,4848
677,477,*,322929
818,823,*,673214
975,243,*,236925
479,277,*,132683
628,97,*,60916
873,620,*,541260
596,252,*,150192
352,778,*,273856
160,891,*,142560
8,421,*,3368
373,479,*,178667
801,135,*,108135
315,19,*,5985
443,481,*,213083
202,880,*,177760
671,539,*,361669
464,743,*,344752
927,161,*,149247
550,454,*,249700
56,643,*,36008
570,853,*,486210
643,812,*,522116
265,372,*,98580
69,817,*,56373
274,159,*,43566
562,80,*,44960
478,394,*,188332
669,777,*,519813
710,353,*,250630
15,181,*,2715
15,720,*,10800
366,890,*,325740
473,415,*,196295
702,585,*,410670
376,123,*,46248
182,530,*,96460
262,385,*,100870
923,780,*,719940
888,546,*,484848
245,730,*,178850
502,921,*,462342
687,856,*,588072
132,887,*,117084
175,859,*,150325
638,367,*,234146
791,176,*,139216
148,506,*,74888
377,586,*,220922
288,519,*,149472
193,425,*,82025
169,821,*,138749
659,760,*,500840
977,311,*,303847
821,77,*,63217
498,529,*,263442
6,201,*,1206
27,912,*,24624
610,891,*,543510
688,550,*,378400
422,71,*,29962
