valor1,valor2,operador,resultado
730,275,-,455
369,910,-,-541
772,184,-,588
347,267,-,80
871,139,-,732
260,989,-,-729
373,963,-,-590
422,710,-,-288
882,818,-,64
430,102,-,328
485,331,-,154
686,175,-,511
211,103,-,108
154,227,-,-73
724,427,-,297
894,101,-,793
737,994,-,-257
184,512,-,-328
953,949,-,4
884,43,-,841
130,772,-,-642
868,463,-,405
322,45,-,277
163,925,-,-762
470,137,-,333
665,899,-,-234
30,443,-,-413
88,482,-,-394
639,755,-,-116
240,413,-,-173
297,73,-,224
550,758,-,-208
444,765,-,-321
512,69,-,443
49,80,-,-31
369,242,-,127
305,575,-,-270
676,216,-,460
718,786,-,-68
910,159,-,751
172,9,-,163
442,411,-,31
347,370,-,-23
467,52,-,415
926,348,-,578
226,680,-,-454
839,913,-,-74
343,485,-,-142
38,650,-,-612
766,802,-,-36
901,921,-,-20
93,295,-,-202
371,241,-,130
710,148,-,562
188,735,-,-547
954,262,-,692
11,542,-,-531
788,371,-,417
451,495,-,-44
14,262,-,-248
364,456,-,-92
583,822,-,-239
381,932,-,-551
618,720,-,-102
594,485,-,109
606,410,-,196
813,182,-,631
581,548,-,33
689,428,-,261
39,977,-,-938
475,226,-,249
607,838,-,-231
579,280,-,299
217,118,-,99
738,506,-,232
367,652,-,-285
383,312,-,71
851,940,-,-89
499,130,-,369
291,314,-,-23
205,520,-,-315
767,246,-,521
644,321,-,323
316,962,-,-646
728,838,-,-110
963,645,-,318
249,988,-,-739
818,975,-,-157
954,446,-,508
972,777,-,195
393,221,-,172
667,410,-,257
405,265,-,140
338,695,-,-357
862,270,-,592
61,104,-,-43
183,32,-,151
59,607,-,-548
298,263,-,35
579,436,-,143
535,3,-,532
720,195,-,525
701,682,-,19
983,523,-,460
792,583,-,209
721,765,-,-44
550,789,-,-239
233,642,-,-409
918,72,-,846
561,788,-,-227
270,639,-,-369
391,621,-,-230
303,471,-,-168
655,147,-,508
862,350,-,512
559,909,-,-350
8,469,-,-461
926,727,-,199
366,901,-,-535
33,525,-,-492
86,815,-,-729
440,169,-,271
223,792,-,-569
629,68,-,561
895,465,-,430
668,159,-,509
843,563,-,280
